Counting log file created 16.jul.2020 18:10:19 - for images in path: null
File is automatically updated on every event, and saved to nullCounting_log.txt
[16.jul.2020 18:34:44], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:34:49], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:34:49], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:34:50], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:34:50], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:34:54], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:34:54], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:34:56], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:34:56], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:35:03], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=5 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:35:03], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=15]
[16.jul.2020 18:35:13], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=5 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:35:13], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=15]
[16.jul.2020 19:36:14], [AuPbSn40.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 19:36:14], [AuPbSn40.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 19:58:28], [AuPbSn40.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 19:58:28], [AuPbSn40.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
